Longitude,Latitude,Average Cost for two,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Rating text,Votes,Online delivery
121.027535,14.565443,1100,Yes,No,No,3,4.8,Excellent,314,0
121.014101,14.553708,1200,Yes,No,No,3,4.5,Excellent,591,0
121.056831,14.581404,4000,Yes,No,No,4,4.4,Very Good,270,0
121.056475,14.585318,1500,No,No,No,4,4.9,Excellent,365,0
121.057508,14.58445,1500,Yes,No,No,4,4.8,Excellent,229,0
121.056314,14.583764,1000,No,No,No,3,4.4,Very Good,336,0
120.9796667,14.53133333,2000,Yes,No,No,4,4.0,Very Good,520,0
120.9793333,14.54,2000,Yes,No,No,4,4.2,Very Good,677,0
120.98009,14.55299,6000,Yes,No,No,4,4.9,Excellent,621,0
121.056532,14.572041,1100,Yes,No,No,3,4.8,Excellent,532,0
121.057916,14.567689,800,No,No,No,3,4.9,Excellent,1070,0
121.06082,14.570849,900,Yes,No,No,3,4.2,Very Good,488,0
121.075419,14.649503,800,No,No,No,3,4.8,Excellent,294,0
121.0335917,14.59345,1000,Yes,No,No,3,4.2,Very Good,458,0
121.03811,14.59889,700,No,No,No,3,4.3,Very Good,223,0
121.05704,14.237082,800,No,No,No,3,3.6,Good,29,0
121.0565874,14.23767897,850,No,No,No,3,4.0,Very Good,72,0
120.951589,14.101834,1200,Yes,No,No,3,4.5,Excellent,211,0
121.045878,14.55436,600,No,No,No,2,4.5,Excellent,118,0
121.04622,14.549337,1500,Yes,No,No,4,4.4,Very Good,392,0
121.053725,14.545858,3000,Yes,No,No,4,4.7,Excellent,535,0
121.0534998,14.54565535,1800,Yes,No,No,4,4.5,Excellent,618,0
-47.88178889,-15.76414167,55,No,No,No,2,3.0,Average,6,0
-47.88266667,-15.7775,30,No,No,No,1,3.8,Good,9,0
-47.88213611,-15.75747222,45,No,No,No,2,3.7,Good,11,0
-47.88816667,-15.75883333,60,No,No,No,3,3.8,Good,11,0
-47.91566667,-15.83116667,50,No,No,No,2,3.2,Average,11,0
-47.91566667,-15.831,80,No,No,No,3,3.1,Average,10,0
-47.9075,-15.82,90,No,No,No,3,3.7,Good,8,0
-47.91016667,-15.82733333,200,No,No,No,4,3.7,Good,5,0
-47.92366667,-15.83133333,150,No,No,No,4,4.1,Very Good,12,0
-48.019,-15.83716667,100,No,No,No,4,3.1,Average,9,0
-48.01909167,-15.839775,60,No,No,No,3,3.6,Good,9,0
-48.01666667,-15.83483333,100,No,No,No,4,4.3,Very Good,29,0
